Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
1317,20/10/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,N/A,nan
1318,20/10/2016,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Bl",Private Equity,N/A,nan
1319,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication M,Mumbai,Janak Jain,Seed Funding,"3,00,000",nan
1320,23/10/2016,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,N/A,nan
1321,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering servi,Gurgaon,BEENEXT,Private Equity,"30,00,000",nan
1322,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,IIFL Seed Ventures,Private Equity,"75,00,000",nan
1323,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,"60,00,000",nan
1324,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"5,00,000",nan
1325,25/10/2016,Pickrr,Technology,Courier Logistics & Order managemen,New Delhi,Swastika Company,Seed Funding,N/A,nan
1326,25/10/2016,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,N/A,nan
1327,25/10/2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,"1,00,000",nan
1328,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investo,Seed Funding,"10,00,000",nan
1329,26/10/2016,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, An",Seed Funding,N/A,nan
1330,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,hooting Starts Sport,Private Equity,"10,00,000",nan
1331,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Fo",Private Equity,"7,00,000",nan
1332,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"9,71,000",nan
1333,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,"2,70,00,000",nan
1334,28/10/2016,Pikkol,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsa",Seed Funding,N/A,nan
1335,29/10/2016,Velmenni,Technology,LiFi based wireless communication pro,New Delhi,Kalaari Capital,Seed Funding,"1,00,000",nan
1336,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"1,00,000",nan
1337,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Prod,Bangalore,Kalaari Capital,Seed Funding,"1,00,000",nan
1338,30/10/2016,Impact Analytics,Technology,Business intelligence and data science,Bangalore,"Aarin Capital, Micha",Private Equity,"7,50,000",nan
1339,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition managem,Mumbai,Karanpal Singh & O,Seed Funding,"10,00,000",nan
1340,01/9/2016,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfin",Private Equity,N/A,nan
1341,01/9/2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,"67,00,000",nan
1342,01/9/2016,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,N/A,nan
1343,01/9/2016,Lucideus,Technology,IT Risk Assessment and Digital Securit,New Delhi,Amit Choudhary,Seed Funding,N/A,nan
1344,04/9/2016,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,N/A,nan
1345,05/9/2016,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash",Seed Funding,N/A,nan
1346,05/9/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,N/A,nan
1347,06/9/2016,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel,Chennai,Infina Finance Pvt.,Private Equity,"13,50,000",nan
1348,06/9/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investo,Seed Funding,"5,00,000",nan
1349,06/9/2016,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,N/A,nan
1350,06/9/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services p,Mumbai,Info Edge (India) Lt,Private Equity,"9,00,000",nan
1351,07/9/2016,Zilingo,eCommerce,Online Fashion Retailer,Bangalore,"Venturra Capital, Se",Private Equity,"80,00,000",nan
1352,07/9/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,"5,00,000",nan
1353,07/9/2016,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital Ind,Private Equity,"60,00,000",nan
1354,07/9/2016,Prozo,eCommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, S",Seed Funding,"3,15,000",nan
1355,08/9/2016,TopRankers,Education,Online Test Preparation platform,Bangalore,CareerNet Consulti,Seed Funding,"6,70,000",nan
1356,08/9/2016,BuildTraders,eCommerce,Online Construction Materials Marketp,Bangalore,Idein Ventures,Seed Funding,"2,00,000",nan
1357,09/9/2016,Byju\\xe2\\x80\\x99s,Education,Online Learning App,Bangalore,Chan Zuckerberg In,Private Equity,"5,00,00,000",nan
1358,09/9/2016,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasek,Seed Funding,N/A,nan
1359,10/9/2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,N/A,nan
1360,10/9/2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Ku,Seed Funding,"1,50,000",nan
1361,10/9/2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Ami",Seed Funding,"4,50,000",nan
1362,10/9/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Za",Seed Funding,N/A,nan
1363,12/9/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures,",Seed Funding,"4,48,000",nan
1364,12/9/2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,"30,00,000",nan
1365,12/9/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariw",Private Equity,"1,23,00,000",nan
1366,12/9/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aq",Seed Funding,"3,00,000",nan
1367,13/9/2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,N/A,nan
1368,13/9/2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,N/A,nan
1369,13/9/2016,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Agra,Indian Angels Netw,Seed Funding,N/A,nan
1370,13/9/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pv,Private Equity,"25,00,000",nan
1371,14/9/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Net,Seed Funding,N/A,nan
1372,14/9/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,Balasubramanian K,Seed Funding,"1,50,000",nan
1373,14/9/2016,LensPick,eCommerce,eyewear eTailer,Bangalore,Scadea Solutions In,Private Equity,N/A,nan
1374,15/9/2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palas",Seed Funding,"2,00,000",nan
1375,15/9/2016,Furlenco,eCommerce,Online furniture rental startup,Bangalore,Lightbox Ventures a,Private Equity,"50,00,000",nan
1376,15/9/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Part,Private Equity,"15,00,000",nan
1377,16/9/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,Ganesh Narasimha,Seed Funding,"1,00,000",nan
1378,16/9/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partne,Private Equity,"10,00,000",nan
1379,19/9/2016,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,"7,50,000",nan
1380,19/9/2016,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capita,Private Equity,N/A,nan
1381,19/9/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture,Private Equity,"1,50,00,000",nan
1382,20/9/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,N/A,nan
1383,20/9/2016,JustLikeNew,eCommerce,Online gadget Repair Services Market,Hyderabad,LetsVenture,Seed Funding,"5,00,000",nan
1384,20/9/2016,JoeHukum,Technology,Enterprise customer engagement solut,New Delhi,Sumit Jain,Seed Funding,N/A,nan
1385,21/9/2016,Co Life,Consumer Internet,shared living and working spaces platf,Bangalore,Undisclosed Investo,Seed Funding,"10,00,000",nan
1386,21/9/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead",Seed Funding,N/A,nan
1387,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,Goldman Sachs Gr,Private Equity,"3,13,00,000",nan
1388,21/9/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventur,Seed Funding,"2,98,000",nan
1389,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platfor,New Delhi,Anglian Omega Net,Seed Funding,"3,50,000",nan
1390,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services pl,New Delhi,Carpediem Capital,Private Equity,"60,00,000",nan
1391,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Bee",Private Equity,N/A,nan
1392,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audi,Bangalore,Rebright Partners,Seed Funding,"4,25,000",nan
1393,22/9/2016,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investo,Seed Funding,"10,00,000",nan
1394,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,Currae Healthtech F,Private Equity,"7,45,000",nan
1395,23/9/2016,CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Ci",Private Equity,"60,00,000",nan
1396,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and paren,Bangalore,Rohit MA,Seed Funding,N/A,nan
1397,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,N/A,nan
1398,23/9/2016,inMotion,Technology,Financial platform for daily wage earni,Noida,"Prashant Tandon, G",Seed Funding,N/A,nan
1399,26/9/2016,Lets Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Fun,Seed Funding,N/A,nan
1400,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platfo,Chennai,Procam Internationa,Private Equity,N/A,nan
1401,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pv,Private Equity,"15,80,000",nan
1402,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and De,Mumbai,Pratik Seal,Seed Funding,N/A,nan
1403,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000",nan
1404,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000",nan
1405,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"10,00,000",nan
1406,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDB",Private Equity,"5,10,00,000",nan
1407,29/9/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"1,80,000",nan
1408,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Aja",Seed Funding,N/A,nan
1409,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mu",Private Equity,"15,00,000",nan
1410,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A,nan
1411,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000",nan
1412,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Inn,Seed Funding,N/A,nan
1413,01/8/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplac,Gurgaon,Sequoia Capital Ind,Private Equity,"1,20,00,000",nan
1414,01/8/2016,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Pla,Bangalore,"Mudit Saxena, Evan",Seed Funding,"2,00,000",nan
1415,01/8/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"2,75,000",nan
1416,01/8/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashio,Bangalore,InnoVen Capital,Private Equity,"30,00,000",nan
1417,01/8/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"25,00,000",nan
1418,02/8/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Wo,Noida,"Lumis Partners, The",Private Equity,"18,00,000",nan
1419,02/8/2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delive,Bangalore,"Venk Krishnan, Apr",Seed Funding,N/A,nan
1420,02/8/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anup",Seed Funding,"10,00,000",nan
1421,03/8/2016,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partne,Private Equity,N/A,nan
1422,03/8/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"2,25,000",nan
1423,03/8/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery pla,Mumbai,Paul Roy,Seed Funding,"8,90,000",nan
1424,04/8/2016,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"5,00,000",nan
1425,04/8/2016,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Net,Seed Funding,N/A,nan
1426,05/8/2016,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,Inventus Capital Pa,Private Equity,N/A,nan
1427,06/8/2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000",nan
1428,08/8/2016,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi C",Private Equity,N/A,nan
1429,08/8/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company,Seed Funding,"40,000",nan
1430,08/8/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investo,Seed Funding,"4,45,000",nan
1431,08/8/2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through cr,Seed Funding,"2,00,000",nan
1432,09/8/2016,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovatio,Seed Funding,N/A,nan
1433,09/8/2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovatio,Seed Funding,N/A,nan
1434,10/8/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sha",Seed Funding,"5,00,000",nan
1435,10/8/2016,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Produc,New Delhi,"Noshir Kaka, Subra",Seed Funding,"6,00,000",nan
1436,11/8/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,Gujarat Venture Fin,Private Equity,"70,00,000",nan
1437,11/8/2016,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Book,Mumbai,"Khattar Holdings, T",Private Equity,N/A,nan
1438,11/8/2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through cr,Seed Funding,"2,09,000",nan
1439,11/8/2016,Zenoti,Technology,Cloud Based Software Solutions Provi,Hyderabad,Norwest Venture Pa,Private Equity,"1,50,00,000",nan
1440,12/8/2016,Crofarm,Technology,Agri-Tech supply chain Solution provid,Gurgaon,"Mukul Singhal, Roh",Private Equity,"15,00,000",nan
1441,12/8/2016,Faircent,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,"15,00,000",nan
1442,12/8/2016,Innovaccer,Technology,Integrated Enterprise Analytics Platfor,Noida,Westbridge Capital,Private Equity,"1,56,00,000",nan
1443,12/8/2016,Cuberoot,Technology,Data Analytics & Audience Manageme,Gurgaon,Undisclosed Investo,Seed Funding,"5,00,000",nan
1444,12/8/2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator pl,New Delhi,"HT Media Ltd, North",Seed Funding,N/A,nan
1445,15/8/2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,Anand Chandrasek,Seed Funding,N/A,nan
1446,16/8/2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,N/A,nan
1447,16/8/2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,"6,20,00,000",nan
1448,16/8/2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, F",Private Equity,"17,50,00,000",nan
1449,16/8/2016,Joolz,eCommerce,Online Jewellery Store,Mumbai,Powerhouse Ventur,Private Equity,"5,00,000",nan
1450,16/8/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etaile",Ahmedabad,Brand Capital,Private Equity,"15,00,000",nan
1451,16/8/2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,Anand Chandrasek,Seed Funding,"2,50,000",nan
1452,16/8/2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai,Seed Funding,N/A,nan
1453,17/8/2016,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,Swan Angel Networ,Seed Funding,"3,75,000",nan
1454,17/8/2016,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Networ,Seed Funding,N/A,nan
1455,17/8/2016,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocom",Private Equity,"6,75,000",nan
1456,17/8/2016,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Netwo,Seed Funding,N/A,nan
1457,18/8/2016,Meesho,eCommerce,Mobile based eCommerce SAAS platfo,Bangalore,"Kashyap Deorah, R",Seed Funding,N/A,nan
1458,18/8/2016,Sesame Software,Technology,Financial Technology Solutions Provid,Kozhikode,Speridian Technolo,Private Equity,N/A,nan
1459,19/8/2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"2,00,00,000",nan
1460,19/8/2016,Digio,Technology,Aadhar based Document Signing platf,Bangalore,Rainmatter,Private Equity,"3,75,000",nan
1461,19/8/2016,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,N/A,nan
1462,22/8/2016,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, M",Seed Funding,N/A,nan
1463,22/8/2016,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Fo",Mumbai,Torrent Group,Private Equity,"3,70,00,000",nan
1464,22/8/2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery plat,Mumbai,"Saha Fund, Exfinity",Private Equity,N/A,nan
1465,23/8/2016,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,N/A,nan
1466,23/8/2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal C",Seed Funding,"1,00,000",nan
1467,23/8/2016,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challag,Seed Funding,N/A,nan
1468,23/8/2016,Octa,Technology,Artificial Intelligence based marketing p,New Delhi,"Outbox Ventures, J",Seed Funding,"2,00,000",nan
1469,24/8/2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anup",Seed Funding,N/A,nan
1470,24/8/2016,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sa",Private Equity,"10,00,000",nan
1471,24/8/2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"1,00,000",nan
1472,24/8/2016,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,"5,00,000",nan
1473,24/8/2016,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kam",Seed Funding,N/A,nan
1474,24/8/2016,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"5,00,000",nan
1475,24/8/2016,Convegenius,Education,Edutainment platform,Noida,Michael and Susan,Private Equity,"9,00,000",nan
1476,24/8/2016,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,"30,00,000",nan
1477,24/8/2016,enCashea,Consumer Internet,Scrap Collection and Recycling platfor,Bangalore,"Kunal Shah, Sande",Seed Funding,N/A,nan
1478,25/8/2016,EngineerBabu,Technology,Mobile App & Web Development comp,Indore,Scale Ventures,Seed Funding,N/A,nan
1479,25/8/2016,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,"30,00,000",nan
1480,25/8/2016,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, I",Seed Funding,N/A,nan
1481,25/8/2016,NearFox,Consumer Internet,Local Lifestyle Content and Discovery,Mumbai,Globevestor Angel,Seed Funding,N/A,nan
1482,25/8/2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility,Private Equity,"2,40,00,000",nan
1483,26/8/2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,"5,00,000",nan
1484,26/8/2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technol,Private Equity,"4,00,00,000",nan
1485,26/8/2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning servi",Mumbai,Undisclosed Ex Mck,Seed Funding,"5,50,000",nan
1486,26/8/2016,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,Kunal Shah & Sand,Seed Funding,N/A,nan
1487,29/8/2016,LoanTap,Consumer Internet,Lending platform for Salaried professio,Mumbai,Dr. Abhishek Pande,Private Equity,"30,00,000",nan
1488,29/8/2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,Nexus Venture Part,Private Equity,"70,00,000",nan
1489,29/8/2016,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,N/A,nan
1490,29/8/2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI inv,Private Equity,"10,00,000",nan
1491,29/8/2016,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,Bessemer Venture,Private Equity,"1,50,00,000",nan
1492,30/8/2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Inv,Seed Funding,"1,49,000",nan
1493,30/8/2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania,",Seed Funding,"1,04,000",nan
1494,30/8/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,"6,00,00,000",nan
1495,30/8/2016,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment,Private Equity,"20,00,000",nan
1496,30/8/2016,Canvera,Consumer Internet,Photographer Discovery & Information,Bangalore,Info Edge (India) Lt,Private Equity,"30,00,000",nan
1497,30/8/2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Medi,Mumbai,Ambit Pragma,Private Equity,N/A,nan
1498,31/8/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequ",Private Equity,"53,00,000",nan
1499,31/8/2016,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Ragh",Seed Funding,N/A,nan
1500,01/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,N/A,nan
1501,01/7/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Trac",Seed Funding,N/A,nan
1502,01/7/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000",nan
1503,01/7/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD",Private Equity,N/A,nan
1504,02/7/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced,Bangalore,SAIF Partners,Private Equity,"7,00,000",nan
1505,04/7/2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,N/A,nan
1506,04/7/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG",Private Equity,"1,50,00,000",nan
1507,04/7/2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"2,00,000",nan
1508,04/7/2016,GrabOnRent,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Ll,Private Equity,"20,00,000",nan
1509,04/7/2016,Fulfil,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,N/A,nan
1510,04/7/2016,NeoGrowth,Finance,SME Lending platform,Mumbai,IIFL Wealth Manage,Private Equity,"1,60,00,000",nan
1511,05/7/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platfor,Gurgaon,YourNest Angel Fun,Private Equity,"10,00,000",nan
1512,05/7/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Netw",Private Equity,"8,20,00,000",nan
1513,05/7/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Ro",Seed Funding,"17,00,000",nan
1514,06/7/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Lt,Private Equity,"7,40,000",nan
1515,06/7/2016,Dont Scratch Your Head,Technology,Full Stack Offline & Online ERP Solutio,Ahmedabad,"Gaurav Singhvi, Zaf",Seed Funding,"2,50,000",nan
1516,06/7/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Cre",Chennai,"Kirthiga Reddy, Ren",Seed Funding,"2,97,000",nan
1517,07/7/2016,AppDaily,Technology,Mobile Security App development & Di,Mumbai,"Kalaari Capital, Qua",Private Equity,"20,00,000",nan
1518,07/7/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Netwo,Private Equity,"10,00,000",nan
1519,07/7/2016,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 St",Private Equity,N/A,nan
1520,07/7/2016,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Venture,Seed Funding,N/A,nan
1521,08/7/2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booki,Bangalore,"Alex Chua, Rahul G",Seed Funding,N/A,nan
